episode_id,title,season,doctorid,is_special,is_earth,is_space,is_past,is_present,is_future,is_outside_time,Producer,Director,Writer,Music,date,Aired_Fri,Aired_Mon,Aired_Sat,Aired_Sun,Aired_Tue,Aired_Wed,rating,views,Has 10,Has 11,Has 12,Has 13,Has 9,Has Amy Pond,Has Bill,Has Clara,Has Cyberman,Has Dalek,Has Danny Pink,Has Donna Noble,Has Grace,Has Graham O'Brien,Has Jackie Tyler,Has Jenny Flint,Has Judoon,Has Kate Lethbridge-Stewart,Has Madame Kovarian,Has Madame Vastra,Has Martha Jones,Has Mickey Smith,Has Nardole,Has Ood,Has Osgood,Has River Song,Has Rory,Has Rose Tyler,Has Ryan Sinclair,Has Sarah Jane Smith,Has Sontaran,Has Sophie,Has The Master,Has The Silent,Has The War Doctor,Has Weeping Angel,Has Winston Churchill,Has Yasmin Khan,Has Zygon,Weekday
2.13,Doomsday,2,10,0,1,0,0,1,1,0,Phil Collinson,Graeme Harper,Russell T Davies,Murray Gold,2006-07-08,0,0,1,0,0,0,9.3,8.22,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.0,The Runaway Bride,3,10,1,1,0,0,1,0,0,Phil Collinson,Euros Lyn,Russell T Davies,Murray Gold,2006-12-25,0,1,0,0,0,0,7.6,9.38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday
3.01,Smith and Jones,3,10,0,1,1,0,1,0,0,Phil Collinson,Charles Palmer,Russell T Davies,Murray Gold,2007-03-31,0,0,1,0,0,0,8.0,8.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.02,The Shakespeare Code,3,10,0,1,0,1,0,0,0,Phil Collinson,Charles Palmer,Gareth Roberts,Murray Gold,2007-04-07,0,0,1,0,0,0,7.8,7.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.03,Gridlock,3,10,0,1,0,0,0,1,0,Phil Collinson,Richard Clark,Russell T Davies,Murray Gold,2007-04-14,0,0,1,0,0,0,8.1,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.04,Daleks in Manhattan,3,10,0,1,0,1,0,0,0,Phil Collinson,James Strong,Helen Raynor,Murray Gold,2007-04-21,0,0,1,0,0,0,7.0,6.69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.05,Evolution of the Daleks,3,10,0,1,0,1,0,0,0,Phil Collinson,James Strong,Helen Raynor,Murray Gold,2007-04-28,0,0,1,0,0,0,7.0,6.97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.06,The Lazarus Experiment,3,10,0,1,0,0,1,0,0,Phil Collinson,Richard Clark,Stephen Greenhorn,Murray Gold,2007-05-05,0,0,1,0,0,0,6.7,7.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.07,42,3,10,0,0,1,0,0,1,0,Phil Collinson,Graeme Harper,Chris Chibnall,Murray Gold,2007-05-19,0,0,1,0,0,0,7.5,7.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
3.08,Human Nature,3,10,0,1,0,1,0,0,0,Susie Liggat,Charles Palmer,Paul Cornell,Murray Gold,2007-05-26,0,0,1,0,0,0,9.0,7.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday
